2010-09-14 11:47:45 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\debugger.php, line 684]
2010-09-14 11:47:45 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\debugger.php, line 688]
2010-09-14 11:50:02 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\debugger.php, line 684]
2010-09-14 11:50:02 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\debugger.php, line 688]
2010-09-14 11:51:31 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\debugger.php, line 688]
2010-09-14 13:43:44 Debug: Notice (8): Undefined property: AdminController::$Admin in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\controller\scaffold.php, line 171]
2010-09-14 13:43:45 Debug: Notice (8): Undefined property: AdminController::$Admin in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\controller\scaffold.php, line 171]
2010-09-14 13:44:06 Debug: Notice (8): Undefined property: AdminController::$Admin in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\controller\scaffold.php, line 171]
2010-09-14 13:44:06 Debug: Notice (8): Undefined property: AdminController::$Admin in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\libs\controller\scaffold.php, line 171]
2010-09-14 14:11:34 Debug: Notice (8): Undefined variable: javascript in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\layouts\backend_layout.ctp, line 35]
2010-09-15 09:48:46 Debug: Notice (8): Undefined variable: javascript in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\layouts\backend_layout.ctp, line 36]
2010-09-15 09:49:59 Debug: Notice (8): Undefined variable: javascript in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\layouts\backend_layout.ctp, line 36]
2010-09-15 09:50:49 Debug: Notice (8): Undefined property: ScaffoldView::$Session in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\layouts\backend_layout.ctp, line 79]
2010-09-15 13:56:51 Debug: Notice (8): Undefined property: UsersController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\users_controller.php, line 70]
2010-09-16 11:13:54 Debug: Notice (8): Undefined variable: user in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 13]
2010-09-16 11:14:33 Debug: Notice (8): Undefined variable: user in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 13]
2010-09-16 11:14:34 Debug: Notice (8): Undefined variable: user in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 13]
2010-09-16 11:16:15 Debug: Notice (8): Undefined variable: user in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 13]
2010-09-16 11:17:16 Debug: Notice (8): Undefined variable: user in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 13]
2010-09-16 11:19:00 Debug: Notice (8): Undefined index:  user in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\views\users\edit.ctp, line 13]
2010-09-16 14:11:10 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:11:43 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:11:44 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:13:35 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:14:18 Debug: Notice (8): Undefined property: GroupsController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:14:59 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:20:02 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:21:24 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\cake\dispatcher.php, line 385]
2010-09-16 14:22:34 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:24:23 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:25:10 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:25:40 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:25:41 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:25:43 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:29:10 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:29:15 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 24]
2010-09-16 14:41:46 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 14:43:13 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 14:44:10 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 14:44:13 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\controllers\auth_controller.php, line 25]
2010-09-16 15:09:11 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-16 15:19:39 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
2010-09-16 15:20:09 Debug: Notice (8): Undefined property: AdminController::$User in [D:\sharaf\server\xampp\htdocs\cakephp\projects\egymedia\app\auth_controller.php, line 26]
